IndID,polycode,value,label
Barriers_dep,E01012662,6,LSOA: E01012662<br/>Rank: 18564 (out of 32844)<br>Decile: 6 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012663,9,LSOA: E01012663<br/>Rank: 29146 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012664,10,LSOA: E01012664<br/>Rank: 30934 (out of 32844)<br>Decile: 10 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012665,9,LSOA: E01012665<br/>Rank: 27736 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012666,8,LSOA: E01012666<br/>Rank: 25432 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012667,10,LSOA: E01012667<br/>Rank: 32085 (out of 32844)<br>Decile: 10 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012668,9,LSOA: E01012668<br/>Rank: 28943 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012669,4,LSOA: E01012669<br/>Rank: 12177 (out of 32844)<br>Decile: 4 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012670,8,LSOA: E01012670<br/>Rank: 24524 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012671,6,LSOA: E01012671<br/>Rank: 19658 (out of 32844)<br>Decile: 6 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012672,7,LSOA: E01012672<br/>Rank: 21179 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012673,7,LSOA: E01012673<br/>Rank: 22122 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012674,8,LSOA: E01012674<br/>Rank: 23063 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012675,9,LSOA: E01012675<br/>Rank: 26833 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012676,10,LSOA: E01012676<br/>Rank: 30644 (out of 32844)<br>Decile: 10 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012677,10,LSOA: E01012677<br/>Rank: 31333 (out of 32844)<br>Decile: 10 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012678,8,LSOA: E01012678<br/>Rank: 25610 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012679,8,LSOA: E01012679<br/>Rank: 25573 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012680,8,LSOA: E01012680<br/>Rank: 25411 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012681,6,LSOA: E01012681<br/>Rank: 19540 (out of 32844)<br>Decile: 6 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012682,7,LSOA: E01012682<br/>Rank: 20510 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012683,7,LSOA: E01012683<br/>Rank: 22822 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012684,9,LSOA: E01012684<br/>Rank: 27808 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012685,9,LSOA: E01012685<br/>Rank: 27862 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012686,8,LSOA: E01012686<br/>Rank: 24953 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012687,7,LSOA: E01012687<br/>Rank: 20428 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012688,6,LSOA: E01012688<br/>Rank: 19411 (out of 32844)<br>Decile: 6 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012689,8,LSOA: E01012689<br/>Rank: 23622 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012690,8,LSOA: E01012690<br/>Rank: 25422 (out of 32844)<br>Decile: 8 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012691,9,LSOA: E01012691<br/>Rank: 26553 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012692,7,LSOA: E01012692<br/>Rank: 20787 (out of 32844)<br>Decile: 7 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012693,9,LSOA: E01012693<br/>Rank: 29061 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012694,10,LSOA: E01012694<br/>Rank: 29667 (out of 32844)<br>Decile: 10 (out of 10)<br>(Lowest ranks/deciles = most deprived)
Barriers_dep,E01012695,9,LSOA: E01012695<br/>Rank: 28355 (out of 32844)<br>Decile: 9 (out of 10)<br>(Lowest ranks/deciles = most deprived)
